finding,severity,target,remediation,tools_used,cvss,signature,novel
Full Source Code Disclosure at /demo-artifacts/source/app/main.py,high,GENESIS CISO Demo Range FastAPI 1.0.0,Strip source-disclosure endpoints from production builds.,,7.5,"T1592.002, T1083",no
Path Traversal / Arbitrary File Read via /download?file=,critical,GENESIS CISO Demo Range FastAPI 1.0.0,Resolve + relative_to or use a whitelist of known files.,,9.1,"T1083, T1005",no
Stored XSS in /notes (raw HTML rendering),high,GENESIS CISO Demo Range FastAPI 1.0.0,html.escape before insertion; consider CSP.,,7.4,"T1059.007, T1185",no
Stored XSS in /notes (raw HTML rendering),high,GENESIS CISO Demo Range FastAPI 1.0.0,html.escape before insertion; consider CSP.,,7.4,"T1059.007, T1185",no
Reflected XSS in /feedback message parameter,medium,GENESIS CISO Demo Range FastAPI 1.0.0,Always html.escape user input before embedding into HTML.,,6.1,"T1059.007, T1185",no
IDOR on /api/accounts/{id} — viewer can read any account,high,GENESIS CISO Demo Range FastAPI 1.0.0,"Enforce ownership check in all environments, not just patched mode.",,8.1,T1213,no
JWT Lacks Expiry / Issued-At / Not-Before Claims — Tokens Are Immortal,medium,FastAPI 0.115.6 / GENESIS CISO Demo Range v1.0.0 (both 10.10.0.11 vulnerable and 10.10.0.10 patched):8080,"Set exp (≤15 min), iat, jti claims on issuance and reject tokens missing/exceeding exp on verification. Maintain a jti blocklist for revoked tokens.",,6.5,CWE-613,no
Patched-Mode JWT Secret Disclosed via Public Source-Code Endpoint,critical,"FastAPI 0.115.6 / GENESIS CISO Demo Range v1.0.0 (DEMO_MODE=patched, 10.10.0.10:8080)",Delete the /demo-artifacts/source/app/main.py route in production builds and load JWT_SECRET from an environment variable or secret manager — never from source.,,9.4,"CWE-798, CWE-540",no
Server-Side Request Forgery on /api/fetch — leaks fake cloud metadata,high,GENESIS CISO Demo Range FastAPI 1.0.0,Apply allow-list of egress hosts; resolve DNS server-side and block private/loopback/link-local.,,8.6,"T1190, T1552.005",no
Unauthenticated admin JWT minting via /auth/demo-token,critical,GENESIS CISO Demo Range FastAPI 1.0.0,Delete /auth/demo-token in production builds; gate token issuance behind real authentication.,,9.8,"T1078, T1136",no
"Hardcoded HS256 JWT secret ""demo"" enables token forgery",critical,GENESIS CISO Demo Range FastAPI 1.0.0,Load a high-entropy secret from environment/secret manager; rotate.,,9.8,"T1552.001, T1212",no
JWT alg=none signature bypass on /api/admin/metrics,critical,GENESIS CISO Demo Range FastAPI 1.0.0,Reject alg!='HS256' (or use a vetted library like PyJWT with required_algorithms).,,9.8,"T1548, T1212",no
OS Command Injection in /api/diagnostics/ping (shell=True with unfiltered host),critical,GENESIS CISO Demo Range FastAPI 1.0.0,Validate host against a strict whitelist and pass argv list with shell=False.,,10.0,"T1059.004, T1190",no
SQL Injection in /api/search q parameter (f-string concatenation into sqlite query),critical,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=vulnerable):8080,Use parameterised queries (the patched branch already shows the fix).,,9.8,"T1190, T1059",no
POST /auth/login Accepts Arbitrary Role with No Authentication,critical,FastAPI 0.115.6 — login() handler with LoginIn pydantic model:8080,"Require password (or other credential) verification; derive role from the user record, never from the request body.",,9.8,"T1078, T1212",no
JWT Has No exp/iat/nbf Claims — Tokens Are Effectively Eternal,medium,FastAPI 0.115.6 — _make_token() + _verify_token():8080,Issue short-lived tokens (≤15 min) with iat/exp/nbf and enforce exp on every verify; add a revocation list keyed by jti.,,5.3,T1550.001,no
Public Admin Token Issuance — /auth/demo-token Mints Privileged JWTs Unauthenticated,critical,FastAPI 0.115.6 — /auth/demo-token endpoint:8080,Remove or hard-disable the demo token issuer outside ephemeral dev environments.,,9.8,"T1078, T1212",no
JWT Weak HMAC Secret 'demo' — Token Forgery via Brute Force,critical,"FastAPI 0.115.6 — VULN_JWT_SECRET=b""demo"":8080",Use a high-entropy random 256-bit secret from a secrets manager; never commit secrets to source.,,9.8,"T1110.002, T1552.001, T1556",no
Stored XSS in /notes (note text rendered unescaped to all viewers),medium,GENESIS CISO Demo Range v1.0.0,Validate the affected code/configuration and remove the vulnerable behavior.,,,xss,no
JWT alg=none Signature Bypass — Full Admin Forgery,critical,FastAPI 0.115.6 GENESIS CISO Demo Range v1.0.0 — custom JWT verifier in app/main.py:8080,Reject any alg other than the expected HS256/RS256; never return payload before signature verification.,,9.8,"T1556, T1078.003, T1550.001",no
JWT alg=none Signature Bypass — Full Admin Forgery,critical,FastAPI 0.115.6 GENESIS CISO Demo Range v1.0.0 — custom JWT verifier in app/main.py:8080,Reject any alg other than the expected HS256/RS256; never return payload before signature verification.,,9.8,"T1556, T1078.003, T1550.001",no
IDOR on /api/accounts/{id} — Any Authenticated User Reads Any Account,high,FastAPI 0.115.6 — get_account handler:8080,Always enforce owner/role authorization on object-level reads; do not gate authorization on a mode flag.,,8.1,"T1078, T1213",no
Reflected XSS on /feedback (unescaped message in HTML body),medium,GENESIS CISO Demo Range v1.0.0,Validate the affected code/configuration and remove the vulnerable behavior.,,,xss,no
"SQL Injection via f-string in /api/search (sqlite3, error oracle + UNION)",critical,GENESIS CISO Demo Range v1.0.0,Validate the affected code/configuration and remove the vulnerable behavior.,,,sqli,no
SSRF on /api/fetch — no host filtering in vulnerable branch,high,GENESIS CISO Demo Range v1.0.0,Validate the affected code/configuration and remove the vulnerable behavior.,,,ssrf,no
IDOR on /api/accounts/{id} — owner check skipped in vulnerable branch,high,GENESIS CISO Demo Range v1.0.0,Validate the affected code/configuration and remove the vulnerable behavior.,,,idor,no
IDOR on /api/accounts/{id} — owner check skipped in vulnerable branch,high,GENESIS CISO Demo Range v1.0.0,Validate the affected code/configuration and remove the vulnerable behavior.,,,idor,no
JWT alg=none Accepted — Complete Signature Bypass,critical,FastAPI 0.115.6 / GENESIS CISO Demo Range v1.0.0 (uvicorn):8080,Reject any token whose header alg is not the explicit allowlisted algorithm (e.g. HS256). Never branch on alg=='none'.,,9.8,CVE-2015-9235,no
JWT HS256 Signed With Hard-Coded 4-Byte Secret 'demo' — Admin Role Forgery,critical,FastAPI 0.115.6 / GENESIS CISO Demo Range v1.0.0 (uvicorn):8080,Replace the hard-coded 'demo' secret with a high-entropy (>=32 bytes) value loaded from a secret manager; rotate any tokens issued under the weak key.,,9.8,"T1552.001, T1606.001, T1078",no
Command Injection via shell=True in /api/diagnostics/ping,critical,GENESIS CISO Demo Range v1.0.0,Validate the affected code/configuration and remove the vulnerable behavior.,,,rce,no
"Unrestricted Path Traversal in /download (FILES_DIR concatenation, no resolve())",high,GENESIS CISO Demo Range v1.0.0,Validate the affected code/configuration and remove the vulnerable behavior.,,,lfi,no
Hardcoded JWT HMAC secret 'demo' + alg=none accepted — admin auth bypass,critical,GENESIS CISO Demo Range v1.0.0 / FastAPI 0.115.6,Validate the affected code/configuration and remove the vulnerable behavior.,,,auth,no
