finding,severity,target,remediation,tools_used,cvss,signature,novel
Unauthenticated Socket.IO event stream exposes application events,medium,OWASP Juice Shop 14.5.1 Socket.IO / Engine.IO endpoint:3000,Require authenticated Socket.IO connections and do not broadcast sensitive metadata or flags on public channels.,,5.3,T1040,no
FTP artifact allowlist bypass via double-encoded null byte suffix,medium,OWASP Juice Shop 14.5.1 /ftp static file handler:3000,"Canonicalize and fully decode filenames before extension checks, reject null bytes and backup extensions, and remove sensitive files from web-accessible /ftp.",,6.5,"T1190, T1083",no
JWT algorithm confusion permits forged admin tokens using exposed RSA public key,critical,OWASP Juice Shop 14.5.1 JWT authentication:3000,"Pin JWT verification to RS256 only, reject attacker-controlled alg values, upgrade JWT middleware, and do not expose verification keys unless necessary.",,9.8,"T1606, T1190",no
Recoverable coupon codes exposed through Z85-encoded backup artifact,low,OWASP Juice Shop 14.5.1 /ftp coupon backup artifact:3000,Remove backup coupon artifacts from the web root and do not rely on reversible encoding to protect promotional or secret values.,,3.7,T1552,no
Unauthenticated SQL Injection Login Bypass Issues Admin JWT,critical,OWASP Juice Shop 14.5.1 on Node.js v18.14.0,Replace string-concatenated SQL in authentication with parameterized queries and add regression tests for SQLi payloads in email/password fields.,,9.8,"T1190, T1078",no
JWT Algorithm Confusion Allows Forged Admin Tokens Using Exposed RSA Public Key,critical,OWASP Juice Shop 14.5.1 JWT-protected APIs:3000,"Pin JWT verification to RS256 only, reject HS* algorithms for RSA-backed tokens, rotate JWT keys, and remove unauthenticated access to key material where possible.",,9.8,"T1190, T1606",no
FTP Static File Allowlist Bypass Exposes Backup and KeePass Artifacts,high,OWASP Juice Shop 14.5.1 /ftp artifact server:3000,"Canonicalize paths before extension checks, reject encoded null bytes, and remove sensitive backup/credential files from the web-accessible /ftp directory.",,7.5,"T1190, T1083, T1552",no
Unauthenticated Prometheus metrics disclose runtime and application state,low,OWASP Juice Shop 14.5.1 / Node.js v18.14.0,Require authentication or network allowlisting for /metrics and avoid exposing detailed runtime labels publicly.,,3.7,T1082,no
Broken Object-Level Authorization on Basket Retrieval,high,OWASP Juice Shop 14.5.1 REST API:3000,"On every basket route, compare the requested basket's UserId with the authenticated user's ID and return 403 on mismatch.",,8.1,"T1190, T1530",no
Broken Object-Level Authorization on User Record Retrieval,high,OWASP Juice Shop 14.5.1 REST API:3000,Add per-object authorization checks to /api/Users/{id}; only admins or the subject user should be allowed to read the record.,,8.1,"T1190, T1530",no
Unauthenticated Product Search SQL Injection Enables User Table Exfiltration,critical,OWASP Juice Shop 14.5.1 product search API:3000,"Parameterize the product search query, constrain UNION/error behavior, and add regression tests for quote, boolean, and UNION SQLi payloads.",,9.8,"T1190, T1005",no
Password Change Does Not Revoke Existing JWT Sessions,medium,OWASP Juice Shop 14.5.1 JWT session handling:3000,"Invalidate all existing sessions/tokens when passwords are changed or reset by using token versioning, passwordChangedAt checks, or a revocation store.",,6.5,"T1528, T1550",no
Unauthenticated Order Tracking Predicate Injection Discloses Other Users' Orders,high,OWASP Juice Shop 14.5.1 order tracking API / MarsDB DocumentMatcher:3000,"Remove dynamic predicate/eval-based matching from order tracking, validate order IDs with an allowlist, and require authorization or possession proof for order lookup.",,8.1,"T1190, T1087",no
Unauthenticated Memories Feed Leaks User Credential Material,high,OWASP Juice Shop 14.5.1 memories API:3000,Restrict /rest/memories serialization to non-sensitive user profile fields and add API tests ensuring password/deluxeToken/totpSecret never appear in public responses.,,7.5,"T1190, T1552",no
Unauthenticated Memory Feed Discloses Password Hashes and Tokens,high,OWASP Juice Shop 14.5.1 REST API:3000,"Remove password hashes, tokens, and other secrets from all public API serializers and require authorization for non-public user metadata.",,8.1,"T1589, T1530",no
State-changing password change uses GET query parameters and leaks password hash,medium,OWASP Juice Shop 14.5.1 password-change API:3000,"Use POST with body parameters, require CSRF protection/re-authentication, serve only over HTTPS, and omit password hashes from responses.",,6.8,"T1552, T1190",no
Unauthenticated memories endpoint leaks nested user records and password hashes,high,OWASP Juice Shop 14.5.1 /rest/memories API:3000,"Require appropriate authorization where needed and explicitly whitelist safe response fields; never include password hashes, roles, deluxe tokens, or TOTP secrets in public API responses.",,7.5,"T1552, T1087",no
Reflected DOM XSS in track-order route via bypassSecurityTrustHtml,medium,OWASP Juice Shop 14.5.1 Angular SPA / track-order API:3000,"Remove bypassSecurityTrustHtml for untrusted data, render order IDs with interpolation/textContent, validate orderId server-side, and deploy a restrictive CSP.",,6.1,"T1059.007, T1189",no
Stored DOM XSS via product description update and product-details innerHTML binding,high,OWASP Juice Shop 14.5.1 Angular SPA product API:3000,"Fix JWT verification, restrict product update APIs, sanitize product descriptions server-side, avoid [innerHTML] for untrusted content, and deploy CSP.",,8.1,"T1059.007, T1190",no
Security-Question Password Reset Enables Account Takeover Using Publicly Leaked Answers,high,OWASP Juice Shop 14.5.1 password reset workflow:3000,Replace knowledge-based password reset with time-limited out-of-band reset tokens and remove public content that discloses reset answers.,,8.1,"T1190, T1098, T1078",no
Any Authenticated User Can Enumerate Global Authentication Details,high,OWASP Juice Shop 14.5.1 REST API:3000,Restrict global authentication-details to administrators and remove sensitive token/password/TOTP fields from the response.,,8.1,"T1190, T1530",no
SQL Injection Authentication Bypass in Login,critical,OWASP Juice Shop 14.5.1 / Node.js HTTP service:3000,Replace dynamic SQL construction in authentication with parameterized queries and add negative tests for SQL metacharacters in login fields.,,9.8,"T1190, T1078",no
Chained Admin Authentication Details Disclosure Exposes Deluxe Tokens,high,OWASP Juice Shop 14.5.1 / Node.js HTTP service:3000,"Restrict authentication-detail APIs to least privilege and remove secret-bearing fields such as deluxeToken, password, totpSecret, and JWTs from responses.",,8.1,"T1190, T1552, T1528",no
SQL Injection in Product Search,high,OWASP Juice Shop 14.5.1 / Node.js HTTP service:3000,Use parameterized SQL/ORM bindings for product search and add SQLi regression tests for q.,,8.6,T1190,no
Backup Artifact Disclosure via /ftp Null-Byte Extension Filter Bypass,medium,OWASP Juice Shop 14.5.1 / Node.js HTTP service:3000,"Canonicalize and validate decoded filenames, reject null bytes, and store backups outside the web-accessible /ftp directory.",,6.5,"T1083, T1589",no
Unauthenticated Admin Application Configuration Disclosure,medium,OWASP Juice Shop 14.5.1 / Node.js HTTP service:3000,Require authenticated admin authorization for admin configuration endpoints and return only non-sensitive fields needed by the UI.,,5.3,"T1592, T1082",no
Password Reset Security Question User Enumeration,medium,OWASP Juice Shop 14.5.1 / Node.js HTTP service:3000,Return indistinguishable responses for existing and nonexistent emails and avoid exposing security questions before identity verification.,,5.3,"T1589, T1110",no
Unauthenticated Prometheus Metrics Exposure,low,OWASP Juice Shop 14.5.1 / Node.js HTTP service:3000,Require authentication or bind metrics to an internal monitoring interface only.,,3.7,T1592,no
Unauthenticated JWT Public Key Disclosure,info,OWASP Juice Shop 14.5.1 / Node.js HTTP service:3000,Do not expose JWT key material endpoints unless required for a documented JWKS/OIDC flow; otherwise restrict access.,,0.0,T1552,no
Authentication bypass via SQL injection in login email,critical,OWASP Juice Shop 14.5.1 on Node.js v18.14.0,Replace string-concatenated login SQL with prepared statements/ORM parameter binding and add regression tests for SQLi login payloads.,,9.8,"T1190, T1078",no
JWT alg=none signature bypass allows arbitrary admin token forgery,critical,OWASP Juice Shop 6.2.0-SNAPSHOT / Node.js HTTP API:3000,"Pin JWT verification to the expected algorithm, reject alg=none, and upgrade JWT libraries/configuration to disallow unsigned tokens by default.",,9.1,"T1606.001, T1550.001",no
JWT signature bypass via alg=none and algorithm confusion,critical,OWASP Juice Shop JWT authentication on Node.js:3000,"Pin accepted JWT algorithms to RS256, reject alg=none, and rotate signing keys after fixing verification.",,9.8,"T1606, T1550",no
Unauthenticated SQL Injection Login Bypass to Administrator JWT,critical,OWASP Juice Shop 14.5.1 on Node.js v18.14.0,"Use parameterized queries/ORM bindings for login, reject SQL metacharacter payloads only as defense-in-depth, and add regression tests for authentication bypass payloads.",,9.8,"T1190, T1078",no
JWT Algorithm Confusion Allows Forged Administrator Tokens,critical,OWASP Juice Shop 14.5.1 on Node.js v18.14.0,"Pin JWT verification to RS256 only, reject alg header downgrades, segregate asymmetric public keys from symmetric secrets, and add tests that HS256 tokens signed with the RSA public key are rejected.",,9.8,"T1190, T1550",no
SQL Injection Authentication Bypass to Administrator Session,critical,OWASP Juice Shop 14.5.1 / Node.js Express authentication API:3000,Replace string-built login queries with parameterized queries/ORM predicates and enforce password verification for the selected account.,,9.8,"T1190, T1078",no
Registration Mass Assignment Allows Self-Service Admin Account Creation,critical,OWASP Juice Shop 14.5.1 / Node.js Express HTTP service:3000,Implement allow-list request binding for registration and set role server-side; reject or ignore privileged fields from clients.,,9.1,"T1190, T1068, T1098",no
JWT Algorithm Confusion and alg=none Authorization Bypass,critical,OWASP Juice Shop 14.5.1 / Node.js Express HTTP service:3000,"Pin JWT verification to RS256, reject alg=none, prevent RSA/HMAC key confusion, and rotate signing keys after fixing verification.",,9.8,"T1190, T1550, T1528",no
Verbose Express Stack Trace Disclosure on Malformed Routes,medium,OWASP Juice Shop 14.5.1 / Express ^4.17.1,"Disable development errorhandler, return generic errors, and validate route parameters before parser/query use.",,5.3,"T1592, T1082",no
Unauthenticated B2B OpenAPI Schema Disclosure,low,OWASP Juice Shop 14.5.1 / Swagger UI:3000,Disable Swagger UI in production or require authenticated administrative access.,,3.7,T1592,no
Unsigned JWT (alg=none) Accepted for Administrator Authorization,critical,OWASP Juice Shop 14.5.1 / JWT-protected API:3000,"Reject unsigned JWTs, pin the expected signing algorithm (e.g. RS256 only), and derive privileges from server-side state rather than trusting mutable token claims.",,9.8,"T1606, T1190, T1078",no
Broken object-level authorization exposes other users' records,high,OWASP Juice Shop REST API /api/Users:3000,Add per-object ownership checks on user record routes and deny cross-user reads for non-admin roles.,,7.5,T1190,no
SQL Injection Authentication Bypass Returns Administrator JWT,critical,OWASP Juice Shop 14.5.1 on Node.js v18.14.0,Replace string-concatenated login queries with parameterized/ORM queries and add regression tests for quote/comment SQLi payloads.,,9.8,"T1190, T1059",no
Unsigned JWT alg=none Accepted for Administrator Authorization,critical,OWASP Juice Shop 14.5.1 JWT authorization:3000,Configure JWT verification with an explicit algorithm allowlist and reject alg=none tokens unconditionally.,,9.8,"T1606, T1190",no
JWT RS256-to-HS256 Algorithm Confusion Using Exposed Public Key,critical,OWASP Juice Shop 14.5.1 JWT authorization:3000,"Pin JWT verification to RS256 only, reject HS256 for RSA-key tokens, and ensure key type matches the accepted algorithm.",,9.8,"T1606, T1190",no
FTP Artifact Extension Filter Bypass Exposes Backup and Binary Files,high,OWASP Juice Shop 14.5.1 /ftp artifact handler:3000,"Canonicalize filenames before authorization, reject encoded null bytes, and keep sensitive artifacts outside the web-served directory.",,7.5,"T1083, T1005",no
Unauthenticated Administrative Configuration and Prometheus Metrics Disclosure,medium,OWASP Juice Shop 14.5.1 admin/metrics endpoints:3000,Require admin authentication or internal-network allowlisting for configuration and metrics endpoints.,,6.5,"T1592, T1082",no
Unauthenticated Recovery Question Disclosure,medium,OWASP Juice Shop 14.5.1 password recovery API:3000,Do not reveal user-specific recovery questions before identity verification; use generic responses and rate limiting.,,5.3,"T1589, T1110",no
Unauthenticated Model APIs Expose Feedback and Security Question Records,medium,OWASP Juice Shop 14.5.1 Sequelize model APIs:3000,Restrict raw model endpoints to authorized roles and expose only minimal public DTOs where needed.,,5.3,"T1530, T1087",no
Verbose Error Pages Leak Framework and Version Information,low,OWASP Juice Shop 14.5.1 / Express ^4.17.1,Replace verbose default error pages with generic production error responses and remove framework/version banners.,,3.7,T1592,no
Cross-Account Basket IDOR/BOLA,high,OWASP Juice Shop 14.5.1 / Basket API:3000,Enforce object-level authorization by checking the basket's UserId against the authenticated token subject for every read/write basket operation.,,8.1,"T1190, T1078",no
XML External Entity Injection in Deprecated B2B Complaint File Upload,critical,OWASP Juice Shop 14.5.1 / Node.js Express file upload handler:3000,"Disable DTD/entity expansion in XML parsers, reject deprecated XML upload workflows, and return generic errors that do not reflect parsed content.",,9.1,"T1190, T1005",no
Exposed KeePass Incident Support Database via FTP Extension Bypass,high,OWASP Juice Shop 14.5.1 / Express static file server:3000,"Remove credential vaults from web-accessible directories, rotate any credentials contained in the vault, and fix canonicalized filename validation.",,7.5,"T1552, T1005",no
Privilege escalation via mass assignment in user registration,critical,OWASP Juice Shop REST API /api/Users:3000,"Implement server-side field allowlisting for user creation and ignore/forbid role, isActive, deluxeToken, password hash, and other privileged attributes from client input.",,9.1,"T1068, T1078",no
JWT authentication bypass via unsigned alg=none tokens,critical,OWASP Juice Shop 14.5.1 / Node.js Express API:3000,"Configure JWT verification with an explicit algorithm allowlist, reject alg=none, and use a maintained JWT library/version that does not permit unsigned tokens by default.",,9.8,"T1606, T1550.001",no
JWT RS256-to-HS256 algorithm confusion using exposed RSA public key,critical,OWASP Juice Shop 14.5.1 / Node.js Express API:3000,"Pin JWT verification to RS256 only, never derive accepted algorithms from the token header, and ensure HMAC algorithms cannot use RSA public key material as secrets.",,9.8,"T1606, T1550.001",no
Exposed weak RSA implementation allows decryption of encrypted announcement,medium,OWASP Juice Shop static /ftp artifacts:3000,Remove exposed crypto artifacts and replace deterministic per-character RSA with authenticated encryption or RSA-OAEP hybrid encryption.,,5.3,T1552.001,no
XXE in deprecated B2B XML upload enables local file disclosure,high,OWASP Juice Shop / Node.js Express file-upload handler:3000,Disable XXE by rejecting DOCTYPE/external entities and remove or fully protect the deprecated B2B XML upload handler.,,7.5,T1190,no
Any authenticated user can enumerate all user accounts,high,OWASP Juice Shop REST API /api/Users:3000,Restrict user collection enumeration to administrators and return only the authenticated user's own minimal profile to customer accounts.,,7.5,T1087,no
JWT RS256-to-HS256 Algorithm Confusion with Exposed Public Key,critical,OWASP Juice Shop 14.5.1 / JWT-protected API:3000,"Pin JWT verification to RS256 only, reject HS* and none algorithms, and do not expose verification keys unless strictly necessary.",,9.8,"T1606, T1190, T1078",no
Authentication SQL Injection Yields Admin JWT,critical,OWASP Juice Shop / Node.js Express authentication API:3000,Replace string-built SQL with parameterized ORM queries and validate login inputs.,,9.8,"T1190, T1078",no
Unsigned alg=none JWT Accepted for Admin API Access,critical,OWASP Juice Shop JWT authorization middleware:3000,Pin JWT verification to the expected asymmetric algorithm and reject unsigned tokens.,,9.1,"T1552, T1078, T1190",no
FTP Artifact Extension Filter Bypass and Directory File Disclosure,medium,OWASP Juice Shop static /ftp file service:3000,"Disable directory indexing, remove sensitive artifacts from web root, and validate canonicalized paths/extensions after full decoding.",,6.5,"T1190, T1083",no
XXE Local File Read in Deprecated /file-upload XML Handler,high,OWASP Juice Shop deprecated B2B file upload XML parser:3000,Disable external entity resolution/DTD loading for XML parsing or remove the deprecated upload endpoint entirely.,,8.6,"T1190, T1005",no
Normal users can read global authentication/session details,critical,OWASP Juice Shop REST API /rest/user/authentication-details:3000,Restrict authentication-detail endpoints to administrators only and never expose live tokens or MFA secret fields via API responses.,,9.1,"T1552, T1087",no
Unauthenticated XXE Local File Read via Deprecated B2B XML Upload Handler,high,OWASP Juice Shop 14.5.1 /file-upload XML handler:3000,"Disable DTD/external entity expansion, reject XML on deprecated upload routes, and stop reflecting uploaded XML content in error pages.",,8.6,"T1190, T1005",no
B2B API accepts unsigned JWT alg=none tokens,high,OWASP Juice Shop 14.5.1 NextGen B2B API:3000,"Pin the accepted JWT algorithm to RS256 on the server, reject alg=none, and never trust the token-supplied alg header to select verification behavior.",,8.1,"T1190, T1550.001",no
XXE Local File Disclosure in Deprecated B2B XML Upload,high,OWASP Juice Shop 14.5.1 / Express ^4.17.1 XML file upload handler:3000,Disable DTD/external entity resolution for XML parsing and remove or strictly authenticate the deprecated /file-upload B2B interface.,,7.5,T1190,no
FTP artifact extension filter bypass via double-encoded null byte suffix,medium,OWASP Juice Shop 14.5.1 Node.js/Express:3000,"Normalize and fully decode paths before extension validation, reject null bytes/encoded nulls, and remove sensitive artifacts from the web root.",,6.5,T1190,no
Deprecated XML file upload handler is vulnerable to XXE local file disclosure,high,OWASP Juice Shop 14.5.1 Node.js/Express file upload:3000,"Disable DTD/entity processing for XML parsers, reject XML uploads containing DOCTYPE/ENTITY, avoid reflecting uploaded XML in errors, and remove deprecated upload handlers.",,8.1,T1190,no
Authentication bypass via SQL injection in login email field,critical,OWASP Juice Shop 14.5.1 Node.js/Express:3000,Replace concatenated SQL with parameterized ORM/prepared statements and add authentication tests for injection payloads.,,9.8,"T1190, T1078",no
UNION-based SQL injection in product search,high,OWASP Juice Shop 14.5.1 Node.js/Express product search API:3000,Use bound parameters for search queries and reject/escape unexpected SQL metacharacters only as defense in depth.,,8.6,T1190,no
XXE local file read in deprecated XML file-upload handler,high,OWASP Juice Shop 14.5.1 /file-upload XML B2B handler:3000,Disable DTD/external entity processing for XML uploads or remove the deprecated XML parser path entirely.,,8.1,"T1190, T1005",no
Unauthenticated confidential document exposure under /ftp,medium,OWASP Juice Shop 14.5.1 Express static /ftp artifact directory:3000,Remove confidential files from the web root and require authentication/authorization for artifact downloads.,,5.3,"T1083, T1005",no
Backup/source artifact retrieval via double-encoded null-byte extension bypass,medium,OWASP Juice Shop 14.5.1 /ftp download filter:3000,Canonicalize and fully decode filenames before extension checks; reject null bytes and keep backups outside the served directory.,,6.5,"T1083, T1005",no
Exposed encoded coupon backup reveals usable coupon codes,medium,OWASP Juice Shop 14.5.1 /ftp coupon backup artifact:3000,"Remove backup coupon files from web-accessible storage, rotate exposed coupons, and fix filename canonicalization.",,5.9,"T1552, T1005",no
Unauthenticated application configuration disclosure,medium,OWASP Juice Shop 14.5.1 admin configuration endpoint:3000,Require admin authorization for configuration endpoints and redact secrets/internal settings from responses.,,5.3,"T1592, T1082",no
Unauthenticated Prometheus metrics disclosure,low,OWASP Juice Shop 14.5.1 /metrics endpoint:3000,Restrict /metrics to trusted monitoring networks or require authentication.,,3.7,"T1592, T1082",no
Password-reset security question enumeration,medium,OWASP Juice Shop 14.5.1 account recovery API:3000,Do not expose recovery questions before verifying the reset flow; return uniform responses for existing and non-existing emails and add rate limiting.,,5.3,"T1589, T1110",no
Exposed textbook RSA encryption allows offline decryption of confidential announcement,medium,OWASP Juice Shop 14.5.1 /ftp artifact store:3000,Remove encryption helpers and encrypted confidential artifacts from the public /ftp directory and use OAEP/hybrid encryption over the whole document rather than deterministic per-character RSA.,,5.3,T1552.001,no
Post-Authentication Authentication-Details Endpoint Exposes User Secrets and Tokens,high,OWASP Juice Shop 14.5.1 user/authentication-details API:3000,"Use response DTO allowlists and never serialize password hashes, TOTP secrets, security answers, or active tokens to clients.",,8.1,"T1552, T1530",no
Basket IDOR/BOLA Allows Customers to Read Other Users' Baskets,medium,OWASP Juice Shop 14.5.1 basket APIs:3000,"Apply object-level authorization on every basket and basket-item query using the authenticated user's ID, not only the supplied object ID.",,6.5,"T1530, T1190",no
SQL Injection Authentication Bypass in Login Email Field,critical,OWASP Juice Shop 14.5.1 / Node.js Express:3000,Replace concatenated SQL with parameterized queries/ORM bindings and enforce password verification after lookup.,,9.8,"T1190, T1078",no
Unauthenticated XXE Local File Disclosure in Deprecated XML File Upload Handler,high,OWASP Juice Shop 14.5.1 / XML upload handler:3000,"Disable DTD/external entity resolution, reject DOCTYPE declarations, and avoid reflecting parsed XML content in error pages.",,8.6,"T1190, T1005, T1046",no
JWT Middleware Accepts Unsigned alg=none Admin Tokens,critical,OWASP Juice Shop 14.5.1 API JWT authentication:3000,Pin allowed JWT algorithms server-side and reject unsigned tokens regardless of token header values.,,9.8,"T1606, T1078",no
JWT RSA/HMAC Algorithm Confusion Allows Forged Admin Token,critical,OWASP Juice Shop 14.5.1 API JWT authentication:3000,Use strict algorithm allow-lists and separate symmetric/asymmetric verification keys; do not let the JWT header select verification mode.,,9.8,"T1606, T1078",no
Exposed Z85-encoded coupon backup reveals valid discount codes,medium,OWASP Juice Shop 14.5.1 /ftp artifact store and checkout API:3000,"Remove coupon backup artifacts from the web root, rotate exposed coupon codes, and store coupon secrets server-side only.",,5.3,T1552.001,no
CAPTCHA Endpoint Discloses Plaintext Answer,low,OWASP Juice Shop 14.5.1 CAPTCHA API:3000,Do not send CAPTCHA answers to clients; store answers server-side and verify submissions against the stored value.,,3.7,T1110,no
B2B orderLinesData Parser Error Leaks Internal Filesystem Path and Dependency Stack,low,OWASP Juice Shop 14.5.1 NextGen B2B API:3000,Use JSON.parse instead of expression parsing for orderLinesData and replace verbose parser errors with generic 400 responses.,,3.7,T1592,no
Main API accepts unsigned JWT alg=none tokens for protected resources,high,OWASP Juice Shop 14.5.1 REST API:3000,"Pin JWT verification to RS256, reject unsigned tokens globally, and add regression tests for alg=none against every protected API route.",,8.8,"T1190, T1550.001",no
Low-Privilege Users Can Read Global User and Complaint Model Data,medium,OWASP Juice Shop 14.5.1 raw model APIs:3000,Apply role-based access control and owner-scoped queries to all raw model endpoints; avoid exposing generic ORM routes directly.,,6.5,"T1530, T1087",no
B2B API accepts empty unsigned JWT for order creation,critical,OWASP Juice Shop 14.5.1 NextGen B2B API:3000,"Require RS256-signed JWTs with validated identity/role claims on all B2B routes; reject alg=none, empty payloads, and tokens without a valid signature and expiration.",,9.8,"T1606, T1550.001",no
Textbook RSA used for exposed announcement encryption,medium,OWASP Juice Shop 14.5.1 / exposed /ftp artifacts:3000,"Never encrypt raw bytes directly with RSA; use RSA-OAEP or a modern authenticated hybrid encryption scheme with randomized padding, and do not expose encryption tooling/key parameters in web-accessible directories.",,5.3,T1020,no
Exposed Source/Configuration Artifacts via /ftp Extension Bypass and Public Admin Config,high,OWASP Juice Shop / Node.js Express on port 3000,"Disable public directory indexing/backups, reject encoded null-byte/path tricks, and protect admin configuration/API documentation behind authentication.",,7.5,"T1083, T1592",no
SQL Injection Authentication Bypass Yields Administrator JWT,critical,OWASP Juice Shop REST login / SQLite-backed auth:3000,Use parameterized ORM queries/prepared statements and verify passwords independently of SQL predicates.,,9.8,"T1190, T1059",no
JWT alg=none Accepted for Administrator Authorization,critical,OWASP Juice Shop JWT authorization / express-jwt 0.1.3,Upgrade JWT middleware and explicitly pin allowed algorithms; reject unsigned tokens and rotate existing tokens/secrets.,,9.8,"T1550, T1606",no
XML External Entity Injection in Deprecated B2B File Upload,high,OWASP Juice Shop /file-upload XML parser using libxmljs:3000,"Remove the deprecated XML upload handler or configure the XML parser to disable DTDs, external entities, and network access.",,8.6,"T1190, T1005",no
SQL Injection Authentication Bypass in Login,critical,OWASP Juice Shop 14.5.1 on Node.js/Express:3000,Replace raw/interpolated SQL in authentication with parameterized queries or safe ORM predicates and add regression tests for SQL metacharacters in login fields.,,9.8,"T1190, T1078",no
Password Change Uses GET Query Parameters and Verbose Error Route,low,OWASP Juice Shop 14.5.1 password change route:3000,"Move password changes to POST over HTTPS with request-body fields, disable the GET route, and suppress verbose stack/error pages.",,3.7,T1552,no
Authenticated Chatbot setname Action Mints Accepted Admin JWT With Secret Claims,high,OWASP Juice Shop 14.5.1 chatbot API:3000,Remove token minting from chatbot flows and sign only minimal non-secret claims in all JWTs.,,8.1,"T1606, T1552",no
Unsigned JWT alg=none Accepted for Administrator API Access,critical,OWASP Juice Shop 14.5.1 JWT authorization middleware:3000,Configure JWT verification with an explicit algorithm allow-list such as RS256 and reject unsigned tokens.,,9.8,"T1190, T1550.001, T1078",no
Authentication bypass via SQL injection in login email field,critical,OWASP Juice Shop 14.5.1 on Node.js/Express:3000,"Parameterize the login query/ORM lookup, validate email input, and verify passwords server-side before issuing JWTs.",,9.8,"T1190, T1078",no
JWT signature bypass via accepted alg=none tokens,critical,OWASP Juice Shop 14.5.1 jsonwebtoken/express-jwt authentication:3000,"Upgrade JWT middleware and configure verification to allow only the expected signed algorithm, explicitly rejecting alg=none and empty signatures.",,9.8,"T1606, T1190",no
Broken object-level authorization allows cross-user basket access,high,OWASP Juice Shop 14.5.1 basket REST API:3000,Enforce per-object ownership checks on basket IDs and return 403 when the authenticated user does not own the requested basket.,,8.1,"T1190, T1087",no
Chained admin access exposes bulk authentication metadata,high,OWASP Juice Shop 14.5.1 authentication-details API:3000,"Fix the login SQLi, enforce strict admin-only access, honor the requested user filter, and never return password/TOTP/security-answer fields in API responses.",,8.2,"T1190, T1005, T1087",no
Captcha endpoint discloses plaintext answer,low,OWASP Juice Shop 14.5.1 captcha API:3000,Store the captcha answer server-side and return only the challenge and captcha ID to clients.,,3.7,T1110,no
JWT alg=none accepted for admin API authorization,critical,OWASP Juice Shop 14.5.1 Node.js/Express API:3000,Pin JWT verification to RS256 with a trusted public key and reject all unsigned or unexpected algorithms.,,9.1,"T1606, T1190",no
Leaked textbook RSA implementation allows decryption of encrypted announcement,medium,OWASP Juice Shop 14.5.1 /ftp static file server:3000,"Remove exposed bytecode/backups, fix the /ftp extension-filter bypass, and replace textbook RSA with modern randomized authenticated encryption.",,5.3,"T1552, T1027",no
