finding,severity,target,remediation,tools_used,cvss,signature,novel
Outdated vulnerable jQuery and jQuery UI libraries are bundled and publicly served,medium,OWASP WebGoat 2025.3 static JavaScript bundle on Apache Tomcat 10.1.36,"Upgrade jQuery/jQuery UI to currently supported versions and remove intentionally vulnerable aliases from the production/static application bundle, or isolate them to lessons with strict CSP and no sensitive origin privileges.",,6.1,CVE-2015-9251,no
WebWolf WEBWOLFSESSION issued without Secure or SameSite on protected-route redirects,medium,OWASP WebWolf / Spring Security on Apache Tomcat 10.1.36,Set Secure and SameSite=Lax/Strict on WebWolf session cookies and enforce HTTPS.,,5.4,"T1539, T1550.004",no
WebGoat leaks JSESSIONID in URL-rewritten redirect Location header,medium,OWASP WebGoat 2025.3 / Spring Security on Apache Tomcat 10.1.36,Disable URL-based session tracking and require cookie-only session tracking with Secure/SameSite attributes.,,5.3,"T1539, T1550.004",no
WebGoat login lacks observable rate limiting or lockout on failed attempts,medium,OWASP WebGoat 2025.3 / Spring Security on Apache Tomcat 10.1.36,Add per-account and per-source login throttling/lockout with 429 and Retry-After after repeated failures.,,5.3,"T1110.001, T1110.003",no
Missing Function-Level Access Control on Hidden Menu Completion Endpoint,medium,OWASP WebGoat 2025.3 Missing Function Access Control Lesson / Spring Boot on Apache Tomcat 10.1.36,Enforce server-side authorization/state checks before accepting hidden menu completion submissions and validate required parameters without returning stack traces.,,6.5,"T1190, T1078.003",no
WebGoat public registration accepts cross-origin form POST account creation without CSRF token,medium,OWASP WebGoat 2025.3 / Spring Security on Apache Tomcat 10.1.36,Enable Spring Security CSRF protection for registration and reject unauthenticated state-changing POSTs without a valid token.,,6.5,"T1078.003, T1185",no
Missing function-level access control on WebGoat hidden-menu completion endpoint,medium,OWASP WebGoat 2025.3 Missing Function Access Control Lesson / Spring Boot on Apache Tomcat 10.1.36,Enforce server-side authorization/state checks for hidden functions and do not rely on hidden client-side menu parameters.,,6.5,"T1190, T1078.003",no
WebGoat JWT voting endpoint accepts tokens signed with weak hard-coded HMAC secret 'victory',medium,OWASP WebGoat 2025.3 JWTVotesEndpoint / Spring Boot on Apache Tomcat 10.1.36,Replace the hard-coded weak JWT HMAC secret with a high-entropy managed secret or asymmetric signing and validate claims server-side.,,6.5,"T1550.003, T1606",no
Authenticated WebGoat SSRF Lesson Performs Server-Side External URL Fetch,medium,OWASP WebGoat 2025.3 SSRF Lesson API on Apache Tomcat 10.1.36,Disable arbitrary URL fetching or enforce strict destination allowlists and private-address blocking on server-side fetch features.,,6.5,"T1190, T1090",no
WebWolf File Upload Serves User-Controlled HTML/JavaScript as text/html,medium,OWASP WebWolf / Spring Boot on Apache Tomcat 10.1.36,"Restrict upload types, store files outside the web-executable context, and serve user uploads as attachments with nosniff and a non-HTML content type.",,6.1,"T1189, T1059.007",no
WebGoat JWT voting cookie uses weak hard-coded HS512 secret 'victory' enabling forged access_token acceptance,high,OWASP WebGoat 2025.3 JWTVotesEndpoint / Spring Boot on Apache Tomcat 10.1.36,"Replace the weak hard-coded JWT secret, rotate existing tokens, and bind authorization claims to server-side identity/state.",,8.1,"T1550.003, T1606",no
Authenticated WebWolf /requests route discloses full Java stack trace,medium,OWASP WebWolf / Spring Boot on Apache Tomcat 10.1.36,Disable stack traces in error responses and fix the null dereference in the requests trace filtering code.,,5.3,"T1082, T1590.002",no
Authenticated WebGoat Lesson Metadata Exposes Network-Relevant Attack Surface Map,low,OWASP WebGoat 2025.3 Lesson API on Apache Tomcat 10.1.36,Restrict lesson metadata and lesson JavaScript to intended training users and remove such endpoints from production deployments.,,3.7,"T1592.002, T1083",no
WebWolf file upload serves attacker HTML as same-origin text/html,medium,OWASP WebWolf file upload on Apache Tomcat 10.1.36,"Restrict upload extensions/MIME types, store uploads outside the web execution origin, and serve user files with `Content-Disposition: attachment`, `X-Content-Type-Options: nosniff`, and a non-executable content type.",,6.1,T1189,no
WebGoat JWT voting endpoint accepts forged admin JWTs via weak HS512 secret and alg=none,medium,OWASP WebGoat 2025.3 JWTVotesEndpoint / Spring Boot on Apache Tomcat 10.1.36,"Use a high-entropy secret from protected configuration, pin JWT algorithms, reject alg=none, rotate the current secret, and do not trust client-controlled admin claims.",,6.5,"T1550.001, T1606",no
Unauthenticated Spring Boot Actuator Discovery Index Exposes Management Surface,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Restrict actuator endpoints to authenticated administrators or bind them to an internal management interface.,,5.3,"T1590.004, T1082",no
Unauthenticated Actuator Env Endpoint Exposes Runtime Property Keyspace,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Disable the env actuator endpoint or protect it with strong administrative authentication.,,5.3,"T1082, T1552.002",no
Unauthenticated Actuator ConfigProps Discloses Bean Binding Metadata,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Disable configprops exposure or restrict it to authenticated administrators only.,,5.3,"T1082, T1590.004",no
Unauthenticated Actuator Health DB Leaks Database Engine Metadata,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Configure actuator health to hide details from unauthenticated users.,,5.3,"T1082, T1590.004",no
Tomcat Error Pages Disclose Exact Server Version,low,Apache Tomcat 10.1.36 hosting WebGoat/WebWolf:8080,Disable Tomcat serverInfo and detailed default error reports.,,3.7,T1590.002,no
WebGoat Session Cookie Missing Secure/SameSite and JSESSIONID Leaked in URL Rewrite,medium,OWASP WebGoat 2025.3 / Spring Security on Apache Tomcat 10.1.36,"Set Secure and SameSite on session cookies, serve only over HTTPS, and disable URL-based session tracking.",,6.1,"T1539, T1550.004",no
WebWolf Session Cookie Missing Secure and SameSite Attributes,medium,OWASP WebWolf / Spring Security on Apache Tomcat 10.1.36,Set Secure and SameSite on session cookies and serve WebWolf only over HTTPS.,,5.4,"T1539, T1550.004",no
Authenticated WebGoat Error Responses Disclose Full Java Stack Traces,medium,OWASP WebGoat 2025.3 / Spring Boot on Apache Tomcat 10.1.36,Disable stack traces in production error responses and return generic error bodies.,,5.3,T1082,no
Authenticated WebWolf Requests Page Discloses Full Java Stack Trace,medium,OWASP WebWolf / Spring Boot on Apache Tomcat 10.1.36,Suppress stack traces in error responses and fix null handling in the requests controller.,,5.3,T1082,no
Missing Function-Level Access Control on Hidden Menu Completion Endpoint,medium,OWASP WebGoat 2025.3 Missing Function Access Control Lesson / Spring Boot on Apache Tomcat 10.1.36,Enforce server-side authorization and state checks on hidden/administrative lesson functions.,,6.5,"T1190, T1078.003",no
WebWolf Allows Stored HTML/JavaScript Upload Served as text/html,medium,OWASP WebWolf file upload / Spring Boot on Apache Tomcat 10.1.36,"Restrict allowed upload types, sanitize content, and serve user uploads as attachments from a separate non-executable origin.",,6.1,"T1189, T1059.007",no
Authenticated SSRF Endpoint Fetches Attacker-Controlled External URLs,high,OWASP WebGoat 2025.3 SSRF Lesson / Spring Boot on Apache Tomcat 10.1.36,"Enforce strict URL allowlists, block internal/private address ranges, and avoid returning raw fetched content.",,7.5,"T1190, T1090",no
JWT Voting Endpoint Accepts Forged access_token Cookies Signed with Weak Secret victory,high,OWASP WebGoat 2025.3 JWT Voting Lesson / Spring Boot on Apache Tomcat 10.1.36,Replace the hard-coded HMAC secret with a high-entropy secret/key management solution and rotate all issued JWTs.,,8.1,"T1550.001, T1606",no
Authenticated XXE in WebGoat XML Lesson Endpoints,medium,OWASP WebGoat 2025.3 XXE Lesson / Spring Boot on Apache Tomcat 10.1.36,Disable DTDs and external entity resolution in all XML parsers and reject XML where JSON/form data is expected.,,6.5,"T1190, T1005",no
Public WebGoat Registration Lacks CSRF Protection for Account Creation,medium,OWASP WebGoat 2025.3 Registration / Spring Security on Apache Tomcat 10.1.36,Require CSRF tokens and SameSite cookies on registration and other state-changing endpoints.,,6.5,"T1136, T1185",no
Client-side filtering endpoint exposes all employee SSNs and salaries,medium,OWASP WebGoat 2025.3 ClientSideFiltering lesson / Spring Boot on Apache Tomcat 10.1.36,Move filtering and authorization to the server; return only records the authenticated principal is allowed to see and redact or omit SSNs by default.,,6.5,"T1530, T1005",no
Client-Side Filtering Salary Endpoint Discloses All Employee SSNs and Salaries,high,OWASP WebGoat 2025.3 Client-Side Filtering Lesson / Spring Boot on Apache Tomcat 10.1.36,Apply server-side authorization and filtering so only the requested and authorized user's record is returned.,,7.5,"T1005, T1213",no
Publicly Served Obsolete jQuery UI 1.10.3 Library,low,OWASP WebGoat static JavaScript / jQuery UI v1.10.3,Upgrade jQuery UI to a currently supported version and audit widget usage for attacker-controlled HTML inputs.,,3.7,"CVE-2016-7103, CVE-2021-41182, CVE-2021-41183",no
Unauthenticated Spring Boot Actuator Endpoints Expose Runtime and Service Metadata,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Restrict actuator exposure to required endpoints only and require authentication for all management routes.,,5.3,"T1082, T1590.004, T1552.002",no
WebGoat JWT Voting Endpoint Accepts Forged HS512 Admin Token Signed With Weak Secret,medium,OWASP WebGoat 2025.3 JWT Voting lesson / Spring Boot on Apache Tomcat 10.1.36,Replace hard-coded JWT secrets with high-entropy environment-managed keys and validate JWT claims against the authenticated server-side principal.,,6.5,"T1550.001, T1606",no
WebWolf Files Page Is Publicly Accessible Without Authentication,low,OWASP WebWolf / Spring Security on Apache Tomcat 10.1.36,Require authentication for /WebWolf/files and all file-management routes unless the files page is intentionally public.,,3.7,T1190,no
WebWolf File Upload Lacks CSRF Protection,medium,OWASP WebWolf file upload / Spring Security on Apache Tomcat 10.1.36,Enable Spring Security CSRF protection for /WebWolf/fileupload and add SameSite=Lax/Strict to WEBWOLFSESSION cookies.,,6.5,"T1190, T1539",no
WebGoat JWT voting access_token signed with weak hard-coded HS512 secret,medium,OWASP WebGoat 2025.3 JWTVotesEndpoint / Spring Boot on Apache Tomcat 10.1.36,Replace the hard-coded JWT HMAC key with a rotated high-entropy secret and reject client-controlled admin claims.,,6.5,"T1550.001, T1606",no
Authenticated arbitrary HTML file upload publicly served by WebWolf,medium,OWASP WebWolf on Spring Security / Apache Tomcat 10.1.36,"Enforce server-side file type allowlists, sanitize names, store uploads outside the executable web context, and serve untrusted uploads as attachments with nosniff/CSP.",,6.5,"T1105, T1189",no
WebWolf Serves Uploaded HTML as Executable text/html Content,high,OWASP WebWolf file storage / Spring Boot on Apache Tomcat 10.1.36,"Reject active file types or serve all uploads from an isolated download domain with application/octet-stream, Content-Disposition: attachment, and X-Content-Type-Options: nosniff.",,8.0,"T1059.007, T1189",no
Weak HS512 JWT Signing Secret Allows WebGoat Voting Token Forgery,medium,OWASP WebGoat 2025.3 JWT Votes lesson / Spring Boot on Apache Tomcat 10.1.36,Replace the hard-coded HMAC secret with a strong rotated secret and reject all previously signed tokens.,,6.5,"T1550.001, T1606",no
Missing Function-Level Access Control on WebGoat Hidden Menu Completion Endpoint,medium,OWASP WebGoat 2025.3 Missing Function Access Control lesson / Spring Boot on Apache Tomcat 10.1.36,"Enforce server-side authorization checks on hidden/non-public functions, not only UI hiding.",,6.1,"T1190, T1078.003",no
WebGoat JSESSIONID Leaked in URL-Rewritten Redirect and Missing Secure/SameSite Flags,medium,OWASP WebGoat 2025.3 / Spring Security on Apache Tomcat 10.1.36,Disable URL session rewriting and set Secure and SameSite on session cookies; serve authentication only over HTTPS.,,5.4,"T1539, T1550.004",no
WebWolf Session Cookie Missing Secure and SameSite Attributes,medium,OWASP WebWolf / Spring Security on Apache Tomcat 10.1.36,Serve WebWolf over HTTPS and configure Secure plus SameSite=Lax/Strict on WEBWOLFSESSION.,,5.0,"T1539, T1550.004",no
WebWolf File Upload Allows Directory Traversal Outside User Artifact Directory,high,OWASP WebWolf file upload / Spring Boot on Apache Tomcat 10.1.36,"Canonicalize upload destinations, reject path separators and '..' in client filenames, and enforce that normalized destinations remain under the authenticated user's storage directory.",,8.1,"T1190, T1105",no
