finding,severity,target,remediation,tools_used,cvss,signature,novel
Authentication Bypass via SQL Injection in Login Email Field,critical,OWASP Juice Shop 20.0.0 / Express ^4.22.1,Parameterize the login query and add regression tests proving SQL metacharacters in email are treated as data.,,9.8,T1190,no
JWT alg=none accepted allows unsigned admin token forgery,critical,OWASP Juice Shop 20.0.0 / Express ^4.22.1,"Configure JWT verification to allow only the intended signed algorithm (RS256), reject alg=none, and ensure every protected endpoint uses signature verification rather than token decoding.",,9.8,"T1606.001, T1190",no
JWT alg=none Signature Bypass Grants Protected API Access,critical,OWASP Juice Shop 20.0.0 JWT bearer authorization middleware:3000,"Pin the expected JWT algorithm server-side, reject alg=none regardless of case, and require a non-empty valid signature.",,9.1,"T1606, T1190, T1550.001",no
Mass Assignment in User Registration Allows Self-Service Admin Account Creation,critical,OWASP Juice Shop 20.0.0 user registration API:3000,"Use server-side allowlists/DTOs for registration fields and assign role exclusively on the server, defaulting public registrations to customer.",,9.1,"T1190, T1136.003, T1098",no
Cross-Account Basket IDOR/BOLA,medium,OWASP Juice Shop 20.0.0 basket REST API:3000,Bind basket object access to the authenticated user ID server-side and return 403 for non-owned basket IDs.,,6.5,"T1190, T1530",no
Unsigned JWT (alg=none) accepted for admin API authorization,critical,OWASP Juice Shop 20.0.0 on 10.10.0.20:3000,Reject alg=none tokens and configure JWT verification with an explicit allow-list of expected signing algorithms.,,9.8,"T1190, T1552",no
FTP extension-filter bypass exposes blocked backup artifacts,high,OWASP Juice Shop FTP file server on 10.10.0.20:3000,"Normalize and fully decode filenames before validation, reject null-byte markers, and enforce extension allow-lists on the resolved basename.",,7.5,T1190,no
Deterministic per-character RSA exposes encrypted announcement plaintext,medium,OWASP Juice Shop 20.0.0 FTP artifact area:3000,"Do not use textbook RSA or deterministic per-byte encryption; use a vetted authenticated encryption scheme such as AES-GCM with random nonces, keep keys/crypto code out of public web roots, and remove leaked artifacts.",,5.3,T1552.001,no
Sensitive Credential Fields Embedded in JWT Payload,medium,OWASP Juice Shop 20.0.0 JWT session issuance:3000,"Issue minimal, short-lived JWT claims and keep password hashes/TOTP secrets only in server-side storage.",,5.5,T1552.001,no
Unauthenticated Chat Endpoint Leaks Internal LLM Backend Details,low,OWASP Juice Shop 20.0.0 /rest/chat LLM integration:3000,"Return generic chat-service errors to clients, log detailed backend connection failures server-side only, and protect/rate-limit the chat endpoint.",,3.7,"T1592, T1190",no
Unauthenticated Exposure of KeePass Incident Support Vault,high,OWASP Juice Shop 20.0.0 /ftp static file area:3000,"Remove credential vaults from web-accessible directories, rotate any credentials stored in the vault, and block sensitive extensions at the static-file layer.",,7.5,"T1552.001, T1005",no
Unauthenticated Arbitrary File Upload Accepts Dangerous Extensions,high,OWASP Juice Shop 20.0.0 /file-upload endpoint:3000,"Require authentication, enforce server-side MIME and extension allowlists, store uploads outside the web root, and disable execution/rendering of uploaded active content.",,8.1,"T1190, T1105",no
Unauthenticated XXE Local File Read via B2B XML Upload,high,OWASP Juice Shop 20.0.0 /file-upload XML parser:3000,"Disable DTD/entity resolution in XML parsers, reject XML containing DOCTYPE/ENTITY declarations, do not reflect uploaded XML in error pages, and require authentication for upload paths.",,8.6,"T1190, T1005",no
Broken Function-Level Authorization Lets Any Customer Enumerate All Users,high,OWASP Juice Shop 20.0.0 user API:3000,Require administrator role checks on user-management endpoints and return only self-scoped user data to customer accounts.,,8.1,"T1190, T1087.004",no
Unauthenticated Web3 Event Listener Creation via GET,medium,OWASP Juice Shop 20.0.0 Web3 REST API:3000,"Require authentication and authorization for listener creation, use POST for state changes, make listener creation idempotent, and rate-limit the endpoint.",,6.5,"T1190, T1499",no
B2B XML upload XXE enables server-side file read and internal network reconnaissance,high,OWASP Juice Shop 20.0.0 / deprecated B2B file-upload XML parser:3000,Disable XML external entity resolution and reject XML documents containing DOCTYPE declarations on /file-upload.,,8.1,"T1190, T1083, T1046",no
Unsigned JWT alg=none accepted for admin authorization,critical,OWASP Juice Shop / Express JWT auth on 10.10.0.20:3000,Configure JWT verification to require a server-side key and an explicit algorithm allow-list; reject alg=none and rotate any exposed tokens.,,9.8,"T1606, T1190",no
SQL injection authentication bypass returns admin JWT,critical,OWASP Juice Shop login API on 10.10.0.20:3000,Replace dynamic SQL/string-concatenated login queries with parameterized ORM queries and add regression tests for tautology payloads in email/password fields.,,9.8,"T1190, T1059",no
JWT alg=none signature bypass grants admin API access,critical,OWASP Juice Shop 20.0.0 Express JWT APIs:3000,"Pin accepted JWT algorithms to RS256 (or the intended algorithm), reject alg=none, and verify signatures before using role claims.",,9.8,"T1606, T1190",no
JWT login token discloses password hash in client-side claims,high,OWASP Juice Shop JWT login/session handling on 10.10.0.20:3000,"Sign only minimal claims (sub, role, expiry) and remove password hashes, TOTP secrets, and full user records from JWT payloads; rotate tokens after patching.",,7.5,"T1552, T1606",no
Authentication Bypass via SQL Injection in Login,critical,OWASP Juice Shop 20.0.0 / Express on port 3000,Replace dynamic SQL with parameterized ORM/prepared queries and add authentication-failure rate limiting.,,9.8,"T1190, T1078",no
JWT Signature Bypass via alg=none,critical,OWASP Juice Shop 20.0.0 JWT-protected API on port 3000,"Pin the expected JWT algorithm, reject alg=none, and require cryptographic signature verification for every protected endpoint.",,9.1,"T1190, T1550.001",no
Default Administrative Credentials Accepted,high,OWASP Juice Shop 20.0.0 authentication on port 3000,"Rotate the admin password, remove seeded/demo credentials, and enforce strong unique administrative credentials.",,8.1,"T1078, T1110.001",no
XML External Entity File Read in B2B File Upload,critical,OWASP Juice Shop 20.0.0 file-upload XML parser on port 3000,"Disable DTD/external entity resolution, block DOCTYPE/ENTITY declarations, and sandbox any file-processing pipeline.",,9.1,"T1190, T1005",no
FTP Extension Filter Bypass Exposes Backup and Binary Artifacts,high,OWASP Juice Shop 20.0.0 /ftp static file handler on port 3000,Canonicalize and fully decode filenames before extension checks; reject null-byte encodings and serve only explicit allow-listed artifacts.,,7.5,"T1190, T1083",no
Unauthenticated Administrative Configuration Disclosure,medium,OWASP Juice Shop 20.0.0 admin REST API on port 3000,Require authenticated administrator authorization before returning administrative configuration data.,,5.3,"T1190, T1082",no
SQL Injection in Product Search,high,OWASP Juice Shop 20.0.0 product search API on port 3000,Use parameterized queries/ORM operators for search input and reject SQL metacharacter attempts at the validation layer.,,8.2,T1190,no
Broken object-level authorization exposes other users' baskets,high,OWASP Juice Shop REST basket API on 10.10.0.20:3000,"For every object endpoint, bind object lookups to the authenticated subject (e.g., WHERE id=:id AND UserId=req.user.id) and return 404/403 for non-owned resources.",,8.1,"T1190, T1530",no
XXE file read enables container network topology disclosure,medium,OWASP Juice Shop on Node/Express:3000,Disable XML external entity resolution/DOCTYPE processing and remove raw upload content from error messages.,,6.5,"T1190, T1082, T1016",no
JWT alg=none signature bypass permits forged admin tokens,critical,OWASP Juice Shop 20.0.0 on Express/Angular:3000,Reject alg=none and verify all JWTs with an explicit RS256-only allow-list and the correct public key.,,9.8,"T1606.002, T1190",no
Exposed deterministic textbook RSA artifact permits full ciphertext recovery,medium,OWASP Juice Shop 20.0.0 FTP static artifact endpoint:3000,Remove sensitive crypto artifacts from static hosting and replace per-character textbook RSA with randomized authenticated encryption such as AES-GCM or RSA-OAEP only for key wrapping.,,5.3,"T1552.001, T1140",no
Unsigned JWT alg=none accepted for admin API access,critical,"OWASP Juice Shop on Express/Angular, JWT middleware express-jwt 0.1.3 indicated by exposed package manifest:3000",Pin accepted JWT algorithms server-side and upgrade vulnerable JWT middleware; reject unsigned tokens.,,9.1,CVE-2020-15084,no
Poison-null extension bypass exposes restricted backup/source artifacts,high,OWASP Juice Shop static /ftp file server:3000,"Canonicalize and decode paths once, reject null bytes/encoded nulls, and enforce allow-listed extensions on the normalized basename.",,7.5,"T1190, T1083, T1552",no
Exposed deterministic RSA bytecode allows decryption of confidential announcement,medium,OWASP Juice Shop /ftp encryption challenge artifacts:3000,Remove sensitive bytecode/ciphertexts from public paths and replace textbook deterministic RSA with authenticated encryption or RSA-OAEP at minimum.,,5.9,"T1552, T1602",no
Broken function-level authorization exposes all users to any authenticated customer,high,OWASP Juice Shop 20.0.0 Express REST API:3000,Require an admin role for user-list APIs and expose self-profile data only through an owner-scoped endpoint.,,8.1,"T1190, T1530",no
Unsigned alg=none JWT accepted due to vulnerable express-jwt/jsonwebtoken dependency,critical,OWASP Juice Shop on Express/Angular with express-jwt 0.1.3,Upgrade JWT middleware and explicitly enforce the expected signing algorithm; reject alg=none tokens at the application/proxy layer.,,9.1,CVE-2020-15084,no
Login SQL injection bypass issues admin JWT,critical,OWASP Juice Shop 20.0.0 /rest/user/login:3000,Replace raw login SQL with parameterized queries/ORM predicates and enforce password verification for the selected user.,,9.8,"T1190, T1078",no
FTP extension-filter bypass exposes backup/config/binary artifacts,medium,OWASP Juice Shop FTP static file area:3000,Canonicalize and fully decode requested filenames before extension checks; reject NUL bytes/path separators and remove sensitive backups from the web root.,,6.5,"T1083, T1552.001",no
Unauthenticated password-reset security question enumeration,medium,OWASP Juice Shop password reset API on 10.10.0.20:3000,Do not expose per-account reset questions before authentication; use opaque reset tokens and identical responses/timing for existing and nonexistent accounts.,,5.3,"T1589, T1110",no
JWT payload discloses password hash and sensitive user record fields,medium,OWASP Juice Shop 20.0.0 JWT authentication:3000,"Minimize JWT claims to sub/role/expiry and remove password hashes, TOTP secrets, and full user objects from tokens.",,6.5,"T1552, T1530",no
Broken Object-Level Authorization on Basket Read,high,OWASP Juice Shop 20.0.0 basket REST API on port 3000,Enforce object ownership in every basket query using the authenticated user id from the verified token.,,8.1,"T1190, T1087",no
Verbose Express Error Pages Disclose Internal Paths,medium,OWASP Juice Shop 20.0.0 / Express ^4.22.1 on port 3000,Disable development error handlers in production and return generic JSON error messages without stack traces or filesystem paths.,,5.3,"T1190, T1082",no
Unauthenticated Account Security Question Disclosure,medium,OWASP Juice Shop 20.0.0 account recovery API on port 3000,Return identical generic recovery responses for valid and invalid emails and require additional verification before showing recovery factors.,,5.3,"T1190, T1589.002",no
Unauthenticated Challenge Inventory Disclosure,low,OWASP Juice Shop 20.0.0 challenge API on port 3000,Restrict challenge/state endpoints to administrators or remove internal keys and solved-state fields from public responses.,,3.7,"T1190, T1592",no
XML external entity file read in B2B file upload,high,OWASP Juice Shop /file-upload XML complaint parser:3000,"Disable DTD/entity expansion and network/file entity loading for XML parsing, or reject XML with DOCTYPE/ENTITY before parsing.",,8.6,"T1190, T1005",no
Unsigned JWT accepted by B2B bearer API permits unauthorized order creation,critical,OWASP Juice Shop 20.0.0 NextGen B2B API v2.0.0,Pin JWT verification algorithms on the B2B API and enforce role/scope checks before processing order requests.,,9.1,"T1606, T1190",no
Customer Role Can Retrieve Full User List,high,OWASP Juice Shop 20.0.0 user API on port 3000,Add server-side role-based authorization to /api/Users and minimize returned user fields.,,8.1,"T1190, T1087.001",no
SQL Injection Authentication Bypass Returns Admin JWT,critical,OWASP Juice Shop 20.0.0 on Express/Node.js:3000,Replace string-built login SQL with parameterized queries/ORM predicates and add negative authentication-bypass tests.,,9.8,"T1190, T1552",no
JWT Signature Bypass via alg=none,critical,OWASP Juice Shop 20.0.0 JWT bearer authentication:3000,Disable alg=none and verify JWT signatures with a strict algorithm allow-list.,,9.1,"T1190, T1606",no
XML External Entity File Read in File Upload,high,OWASP Juice Shop 20.0.0 B2B XML/file upload parser:3000,Disable DTD/external entity resolution for all XML parsers and reject uploads containing DOCTYPE.,,8.6,"T1190, T1005",no
FTP Extension Filter Bypass Discloses Blocked Artifacts,medium,OWASP Juice Shop 20.0.0 /ftp static artifact handler:3000,Canonicalize paths before extension checks and reject encoded NUL/control-character bypasses.,,5.3,"T1083, T1005",no
JWT Claims Leak Password Hash Material,high,OWASP Juice Shop 20.0.0 JWT authentication:3000,"Minimize JWT claims and exclude password hashes, TOTP secrets, and full user records from tokens.",,7.5,T1552,no
Unauthenticated Prometheus Metrics Disclosure,medium,OWASP Juice Shop 20.0.0 Prometheus metrics endpoint:3000,Restrict /metrics to authenticated administrators or internal monitoring networks.,,5.3,T1592,no
Sensitive User Fields Embedded in JWT Payload,high,OWASP Juice Shop 20.0.0 authentication/JWT on port 3000,Minimize JWT claims to non-sensitive identifiers/roles and rotate any exposed secrets or hashes.,,7.5,"T1552.001, T1190",no
JWT access tokens lack expiration claim,high,OWASP Juice Shop JWT session handling on 10.10.0.20:3000,"Add exp/nbf/iss/aud claims, enforce them during verification, and introduce refresh-token rotation or server-side revocation for sensitive account events.",,7.5,"T1606, T1550",no
JWT RS256-to-HS256 Algorithm Confusion,critical,OWASP Juice Shop 20.0.0 JWT-protected API on port 3000,"Pin accepted algorithms to RS256, reject HS256/none for asymmetric tokens, and avoid exposing keys not required by clients.",,9.1,"T1550.001, T1190",no
Unauthenticated Mass Assignment Creates Administrator Accounts,critical,OWASP Juice Shop 20.0.0 user registration API on port 3000,Use an explicit allow-list of registration fields and set role server-side; never bind client JSON directly to privileged model attributes.,,9.8,"T1190, T1136.001",no
Unauthenticated Prometheus Metrics Disclosure,medium,OWASP Juice Shop 20.0.0 /metrics endpoint on port 3000,Restrict /metrics to internal monitoring networks or authenticated administrators and avoid exposing high-cardinality operational data publicly.,,5.3,"T1190, T1592.002",no
RS256-to-HS256 JWT algorithm confusion permits admin token forgery,critical,OWASP Juice Shop JWT auth on 10.10.0.20:3000,"Pin JWT verification to the expected asymmetric algorithm, reject HS* tokens for RSA key paths, and do not expose verification keys unless verifier configuration is hardened.",,9.8,"T1606, T1190",no
Forged JWT enables lateral admin access to adjacent Juice Shop instance,high,OWASP Juice Shop 14.5.1 adjacent service:3000,"Pin JWT verification to RS256, reject unsigned tokens, and ensure adjacent services do not share vulnerable JWT validation behavior or keys.",,8.1,"T1550, T1550.001, T1190",no
Forged JWT Authorizes B2B Order Creation,high,OWASP Juice Shop 20.0.0 B2B orders API on port 3000,Apply strict JWT algorithm pinning and role authorization to /b2b/v2/orders; reject unsigned tokens.,,8.1,"T1550.001, T1190",no
Unauthenticated mass assignment creates administrator users,critical,OWASP Juice Shop REST user API:3000,Enforce server-side allowlists for user-create fields and set role server-side only.,,9.8,"T1190, T1068",no
JWT RS256-to-HS256 algorithm confusion with public key as HMAC secret,critical,OWASP Juice Shop JWT authentication:3000,Pin JWT algorithms to RS256 only and reject HS* tokens for RSA-key based verification; rotate tokens after patching.,,9.8,"T1190, T1552",no
Unauthenticated mass assignment creates administrator accounts,critical,OWASP Juice Shop user registration API on 10.10.0.20:3000,"Use server-side field allow-lists/DTOs for registration, force role=customer on self-service signup, and audit existing accounts created with unexpected admin roles.",,9.8,"T1190, T1136",no
SQL Injection Login Bypass Grants Admin JWT,critical,OWASP Juice Shop 20.0.0 on Node/Express:3000,Use parameterized ORM queries for authentication and reject SQL metacharacter injection inputs with server-side validation.,,9.8,"T1190, T1078",no
JWT alg=none Signature Bypass Allows Admin Token Forgery,critical,OWASP Juice Shop 20.0.0 JWT authentication:3000,Pin the expected JWT algorithm server-side and reject alg=none or any token without a valid signature.,,9.1,"T1550.003, T1078",no
RS256-to-HS256 JWT Algorithm Confusion Using Public Key as HMAC Secret,critical,OWASP Juice Shop 20.0.0 JWT authentication:3000,Restrict JWT verification to RS256 only and never allow public keys to be reused as HMAC secrets.,,9.1,"T1550.003, T1078",no
Unauthenticated Mass Assignment Creates Admin Users,critical,OWASP Juice Shop 20.0.0 /api/Users:3000,Whitelist assignable registration fields and force role/customer privileges server-side for public registration.,,9.8,"T1190, T1068",no
Broken Object Level Authorization on Basket API,high,OWASP Juice Shop 20.0.0 basket API:3000,Enforce object ownership checks on /rest/basket/:id using the authenticated user's id.,,8.1,T1190,no
Any Authenticated Customer Can Retrieve Full User List,high,OWASP Juice Shop 20.0.0 /api/Users:3000,Restrict /api/Users to admin role and return 403 for non-admin authenticated users.,,8.1,T1190,no
XML External Entity Injection in File Upload Reads Local Files,high,OWASP Juice Shop 20.0.0 file upload XML parser:3000,Disable DTD/external entity resolution in XML parsing and reject XML uploads containing DOCTYPE or ENTITY declarations.,,8.6,"T1190, T1005",no
Product Search SQL Injection,high,OWASP Juice Shop 20.0.0 product search:3000,Use parameter binding/ORM predicates for search terms and never concatenate q into SQL strings.,,8.2,T1190,no
FTP Download Extension Filter Bypass Exposes Disallowed Artifacts,medium,OWASP Juice Shop 20.0.0 static /ftp download handler:3000,"Canonicalize filenames before extension checks, reject null bytes, and serve files from an explicit allowlist.",,6.5,"T1190, T1005",no
Unauthenticated Administrative Application Configuration Disclosure,medium,OWASP Juice Shop 20.0.0 admin REST configuration endpoint:3000,Require admin authorization for configuration endpoints and redact internal settings from client-facing responses.,,6.5,T1592.002,no
Unauthenticated Prometheus Metrics Exposure,medium,OWASP Juice Shop 20.0.0 /metrics endpoint:3000,Restrict /metrics to authenticated monitoring systems or bind it to an internal-only interface.,,5.3,T1592.002,no
Confidential Acquisition Document Exposed via Public FTP Directory,medium,OWASP Juice Shop 20.0.0 public /ftp directory:3000,Remove confidential documents from the public web root and require authorization for internal document repositories.,,5.9,T1005,no
RS256-to-HS256 JWT key confusion using exposed RSA public key,critical,OWASP Juice Shop 20.0.0 on Express/Angular:3000,Pin JWT verification to RS256 only and never allow HS* algorithms for RSA-backed tokens; keep verification keys public only when algorithm confusion is impossible.,,9.8,"T1606.002, T1190",no
JWT RS256-to-HS256 algorithm confusion using exposed public key,critical,"OWASP Juice Shop JWT authentication (/encryptionkeys/jwt.pub, /api/Users):3000",Pin JWT verification to RS256 and reject all HS* algorithms for RSA-key based tokens; update jsonwebtoken/express-jwt to current versions.,,9.1,"T1190, T1550.003",no
Unauthenticated role mass assignment creates administrator accounts,critical,OWASP Juice Shop user registration API /api/Users:3000,Use an allowlist DTO for registration fields and set role server-side; reject role/isAdmin/deluxeToken in public user creation requests.,,9.1,"T1190, T1068",no
Weak deterministic raw RSA-style document encryption allows plaintext recovery,medium,OWASP Juice Shop exposed encrypt.pyc and announcement_encrypted.md artifacts:3000,Do not implement custom crypto; use authenticated randomized encryption such as AES-GCM/Fernet and keep keys outside the web root.,,5.3,"T1552.001, T1027",no
JWT replay enables lateral admin access to adjacent Juice Shop instance,high,OWASP Juice Shop 14.5.1 on 10.10.0.21:3000,Use per-instance JWT keys and validate issuer/audience; rotate existing keys and invalidate tokens.,,8.1,"T1550.001, T1190",no
Authentication bypass via SQL injection in login email field,critical,OWASP Juice Shop on Node/Express:3000,Use parameterized ORM queries/prepared statements for authentication and validate the email field before querying.,,9.8,"T1190, T1078",no
Product search SQL injection broadens query results,high,OWASP Juice Shop product search API:3000,Parameterize the product search query and escape LIKE wildcards in user-controlled search terms.,,8.1,T1190,no
Unsigned alg=none JWT accepted for administrator access,critical,OWASP Juice Shop JWT authorization middleware:3000,Pin JWT verification to RS256 and explicitly reject alg=none/unsigned tokens.,,9.8,"T1190, T1550.001, T1078",no
RS256-to-HS256 JWT algorithm confusion using public key as HMAC secret,critical,OWASP Juice Shop JWT authorization middleware:3000,Pin allowed JWT algorithms to RS256 and never allow HS* verification with RSA key material.,,9.8,"T1190, T1550.001, T1078",no
B2B XML upload expands external entities and leaks local files,high,OWASP Juice Shop /file-upload XML processor:3000,Disable DTD/external entity processing and reject XML containing DOCTYPE declarations.,,8.6,"T1190, T1005",no
Unauthenticated administrative application configuration disclosure,medium,OWASP Juice Shop admin configuration API:3000,Require authenticated administrator authorization for /rest/admin/application-configuration.,,5.3,"T1190, T1082",no
Unauthenticated Prometheus metrics endpoint exposes process and application telemetry,low,OWASP Juice Shop Prometheus metrics:3000,Restrict /metrics to trusted monitoring networks or authenticated administrators.,,3.7,"T1190, T1082",no
Public API documentation exposes B2B OpenAPI schema,low,OWASP Juice Shop Swagger UI / B2B API documentation:3000,Disable Swagger UI in production or require administrator authentication to access API documentation.,,3.1,"T1190, T1592.002",no
Exposed cryptographic key directory and JWT public key material,medium,OWASP Juice Shop static encryptionkeys directory:3000,Remove /encryptionkeys from static serving and store key material outside the web root or in a secrets manager.,,5.3,"T1190, T1552.001",no
FTP backup artifact exposes package metadata and dependencies,medium,OWASP Juice Shop exposed /ftp backup files:3000,Remove backup/source files from public static directories and block encoded null-byte bypass patterns.,,5.3,"T1190, T1592.002",no
Quarantine directory exposes malware shortcut artifact,low,OWASP Juice Shop exposed /ftp/quarantine directory:3000,Do not serve quarantine directories from the web root; require administrative access or remove the files.,,3.1,"T1190, T1105",no
RS256-to-HS256 JWT key confusion using exposed RSA public key,critical,OWASP Juice Shop 20.0.0 on Express/Angular:3000,Pin JWT verification to RS256 only and never allow HS* algorithms for RSA-backed tokens.,,9.8,"T1606.002, T1190",no
JWT alg=none signature bypass permits forged admin tokens,critical,OWASP Juice Shop 20.0.0 on Express/Angular:3000,Reject alg=none and verify all JWTs with an explicit RS256-only allow-list.,,9.8,"T1606.002, T1190",no
JWT payload leaks crackable unsalted MD5 admin password hash,high,OWASP Juice Shop 20.0.0 on Express/Angular:3000,Remove password hashes from JWT claims and migrate password storage from MD5 to Argon2id or bcrypt with per-user salts.,,8.1,"T1552.002, T1110.002",no
JWTs are issued without expiration and stale/future iat values are accepted,medium,OWASP Juice Shop 20.0.0 on Express/Angular:3000,Issue short-lived JWTs with exp/nbf/aud/iss and enforce maxAge during verification.,,6.5,T1550.001,no
Exposed deterministic textbook RSA artifact permits full ciphertext recovery,medium,OWASP Juice Shop 20.0.0 FTP static artifact endpoint:3000,Remove sensitive crypto artifacts from static hosting and replace per-character textbook RSA with randomized authenticated encryption.,,5.3,"T1552.001, T1140",no
JWT RS256-to-HS256 Algorithm Confusion via Public RSA Key,critical,OWASP Juice Shop 20.0.0 on Node/Express:3000,"Pin accepted JWT algorithms to RS256 only, reject HS* for RSA keys, rotate JWT keys, and remove public key material from web-accessible directory listings unless explicitly required.",,9.1,CVE-2015-9235,no
Public Directory Listing Exposes Cryptographic Key Material,high,OWASP Juice Shop 20.0.0 static file service:3000,Disable directory indexing and move all cryptographic/secret material outside the web root; rotate any exposed secrets.,,7.5,"T1552.001, T1190",no
Deterministic Per-Character RSA Encryption Recoverable from Leaked Bytecode,medium,OWASP Juice Shop 20.0.0 public FTP/static files:3000,"Remove leaked bytecode/ciphertext artifacts, avoid deterministic character-wise RSA, and use randomized authenticated encryption with protected keys.",,5.3,"T1552, T1027",no
Product search SQL injection with UNION data extraction,high,OWASP Juice Shop product search API backed by SQLite:3000,Use parameterized queries for product search and reject unsafe wildcard/control characters where not needed.,,8.6,"T1190, T1005",no
Public encryption key directory discloses JWT public key and premium key,high,OWASP Juice Shop static /encryptionkeys directory:3000,Remove key directories from public static serving and move cryptographic/license keys to a secret manager or non-web-readable path.,,7.5,"T1552, T1083",no
JWT alg=none accepted enables forged administrator tokens,critical,OWASP Juice Shop 20.0.0 on Node/Express:3000,Pin accepted JWT algorithms to the intended asymmetric algorithm and reject unsigned tokens.,,9.8,"T1190, T1552",no
JWT RS256-to-HS256 algorithm confusion using exposed public key,critical,OWASP Juice Shop 20.0.0 on Node/Express:3000,Strictly pin JWT algorithms and separate symmetric/asymmetric verification keys.,,9.8,"T1190, T1552",no
SQL injection login bypass returns administrator JWT,critical,OWASP Juice Shop 20.0.0 on Node/Express:3000,Use parameterized queries for authentication and avoid string-concatenated SQL.,,9.8,T1190,no
Unauthenticated mass assignment creates administrator accounts,critical,OWASP Juice Shop 20.0.0 on Node/Express:3000,Apply server-side allowlists for writable registration fields and force role server-side.,,9.8,"T1190, T1098",no
B2B XML upload XXE reads local files,high,OWASP Juice Shop 20.0.0 on Node/Express libxml XML upload route:3000,Disable DTD/external entity resolution and reject DOCTYPE in uploaded XML.,,8.6,T1190,no
Exposed premium.key enables unauthorized deluxe membership activation,medium,OWASP Juice Shop 20.0.0 on Node/Express:3000,Remove premium.key from public static directories and rotate the deluxe activation secret.,,6.5,"T1552, T1190",no
Stored XSS payload delivered through product search,high,OWASP Juice Shop 20.0.0 Angular/Express product API:3000,"HTML-encode/sanitize product descriptions on input and output, and deploy a restrictive CSP.",,8.1,"T1059.007, T1189",no
Product search SQL injection allows boolean query manipulation,high,OWASP Juice Shop 20.0.0 SQLite-backed product search:3000,Use ORM parameter binding or prepared statements and escape LIKE wildcards.,,7.5,T1190,no
JWT signature bypass via alg=none acceptance,critical,OWASP Juice Shop / Express JWT auth:3000,Pin JWT verification to the expected asymmetric algorithm and reject unsigned tokens.,,9.8,"T1190, T1550",no
JWT RS256-to-HS256 algorithm confusion using public key as HMAC secret,critical,OWASP Juice Shop / Express JWT auth:3000,Separate symmetric and asymmetric key verification paths and pin the accepted JWT algorithm to RS256 only.,,9.8,"T1190, T1550",no
Public exposure of JWT verification key material,medium,OWASP Juice Shop static key directory:3000,Remove /encryptionkeys/ from public routing and store signing/verification keys outside the web root.,,6.5,T1589,no
Authentication Bypass via SQL Injection in Login Email Field,critical,OWASP Juice Shop 14.5.1 / Express login API:3000,Replace string-concatenated SQL with parameterized queries/ORM predicates and add regression tests for authentication-bypass payloads.,,9.8,"T1190, T1552",no
JWT RS256-to-HS256 Algorithm Confusion Grants Admin API Access,critical,OWASP Juice Shop 14.5.1 / express-jwt/jsonwebtoken JWT middleware:3000,"Upgrade vulnerable JWT libraries, explicitly allow only RS256 for RSA public-key verification, and remove public key material from browsable static directories where not required.",,9.8,CVE-2015-9235,no
